0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0x802FE7C9AFB4B254: Some might consider it cheating to use magic to help your plants grow, but {2.SimName} doesn’t seem to mind. All that matters is that {MA.his}{FA.her} garden is the envy of the neighborhood!	→	Some might consider it cheating to use magic to help your plants grow, but {2.SimName} doesn’t seem to mind. All that matters is that {MA.his}{FA.her} garden is the envy of the neighbourhood!
0x8034B5E3E580F1BC: Mention Favorite Thing About Sim	→	Mention Favourite Thing About Sim
0x80375D710F9E5D7E: Raise the Defense Grid	→	Raise the Defence Grid
0x808E53950AD1D295: Set Laser Idle Color	→	Set Laser Idle Colour
0x80939339B29CF757: (From Socializing With Supernatural)	→	(From Socialising With Supernatural)
0x80A0D0305EC73874: {0.SimName} has received a new uniform to honor {0.SimName}'s new rank.	→	{0.SimName} has received a new uniform to honour {0.SimName}'s new rank.
0x80A5389B419058E8: Have Gone to Dive Bar $n times	→	Have Gone to Corner Pub $n times
0x80B67015BAE5ACAB: Due to unexpected circumstances, travel plans had to be be cancelled.  You'll receive a full refund of {0.Money}.	→	Due to unexpected circumstances, travel plans had to be be cancelled. You'll receive a full refund of {0.Money}.
0x80BD1A2A48FD72E9: Have a Sim write 2 Sci-Fi, Drama, Humor, Mystery and Romance novels then write 2 Vaudeville novels	→	Have a Sim write 2 Sci-fi, Drama, Humour, Mystery and Romance novels then write 2 Vaudeville novels
0x80CD83B558572452: The Schmidt Institute for the Laser Rhythm-a-con Awards of Excellence\nhereby recognizes\n{0.SimName}\nas having unmatched skills in throwing down electrifying beats.\nAwarded: {DateAndTime}, Witnessing Officer: Mr. W. B. Schmidt	→	The Schmidt Institute for the Laser Rhythm-a-con Awards of Excellence\nhereby recognises\n{0.SimName}\nas having unmatched skills in throwing down electrifying beats.\nAwarded: {DateAndTime}, Witnessing Officer: Mr. W. B. Schmidt
0x80D28F4BC7C95C05: What was that?  An Earthquake?  {0.SimFirstName} should check in with work to see if they need help.	→	What was that? An Earthquake? {0.SimFirstName} should check in with work to see if they need help.
0x80FFA0F243854843: • Play collegiate sports in the stadium.	→	• Play varsity sports in the stadium.
0x810642755259B316: A roof made from dark Midnight colored tile.	→	A roof made from dark Midnight coloured tile.
0x811AEB324CD4331C: It's difficult for any child or teen Sim to resist occasionally setting a hilarious booby trap or playing a prank on a neighbor. \\n\\nWould you like to learn more about Pranks and Booby Traps?	→	It's difficult for any child or teen Sim to resist occasionally setting a hilarious booby trap or playing a prank on a neighbour. \\n\\nWould you like to learn more about Pranks and Booby Traps?
0x8128C10B0EF39077: Cookies for Dinner!	→	Biscuits for Dinner!
0x813B3D6E45CF86A7: Bowling a strike is always a rewarding feet… But bowling a strike against a cosmic array of bowling pins? Now that’s bowling!	→	Bowling a strike is always a rewarding feat… But bowling a strike against a cosmic array of bowling pins? Now that’s bowling!
0x814F71BD55B95CED: Congratulations on your advancement through the ranks of Firefighting! {TownName} is grateful for all you have done! The Mayor is holding a special ceremony in your honor at City Hall in order to present you with the {1.String}.	→	Congratulations on your advancement through the ranks of Firefighting! {TownName} is grateful for all you have done! The Mayor is holding a special ceremony in your honour at City Hall in order to present you with the {1.String}.
0x816A77DACBE765BE: Jorgensen	→	Jørgensen
0x816ED093FAF5D3EA: Buy Something from the Consignment Store	→	Buy Something from the Thrift Shop
0x816FDEF4CE39FD3F: Oh, I didn't recognize you {MA.Mr... Mr.}{FA.Ms... Ms.} Moneybags! Thanks and have fun in there!	→	Oh, I didn't recognise you {MA.Mr... Mr.}{FA.Ms... Ms.} Moneybags! Thanks and have fun in there!
0x8182B6A753948D75: Food Truck	→	Food Van
0x8184D396B09E232B: Tour Theatre With... 	→	Tour Cinema With... 
0x81963A224BC02B90: {0.SimFirstName} has unlocked some gags that will make Sims gag. {MA.He}{FA.She} can now Fairy Trap a trashcan and perform Tummy Twister on unsuspecting Sims.	→	{0.SimFirstName} has unlocked some gags that will make Sims gag. {MA.He}{FA.She} can now Fairy Trap a waste bin and perform Tummy Twister on unsuspecting Sims.
0x81963A224BC02B97: {0.SimFirstName} has learned to utilize {MA.his}{FA.her} Fairy Form to get to those hard-to-reach places and perform a Fairy Repair on broken objects.\n\n{0.SimFirstName} has also unlocked the Aura of Body and Mind to assist Sims in their training.	→	{0.SimFirstName} has learned to utilise {MA.his}{FA.her} Fairy Form to get to those hard-to-reach places and perform a Fairy Repair on broken objects.\n\n{0.SimFirstName} has also unlocked the Aura of Body and Mind to assist Sims in their training.
0x81963A224BC02B9C: Some will check the mail and only take what is theirs, leaving the rest to gather dust. It’s time to get them back! {0.SimFirstName} can now Fairy Trap a mailbox and teach them not to be so stingy.	→	Some will check the post and only take what is theirs, leaving the rest to gather dust. It’s time to get them back! {0.SimFirstName} can now Fairy Trap a postbox and teach them not to be so stingy.
0x81AA8022E0159740: Gypsy Vanner	→	Fortune Vanner
0x81B2CB71976B0F44: Painting a la Phalange	→	Painting à la Phalange
0x81C166DFEE014664: Your seminar was wildly successful. Reaching a room full of avid and enthusiastic supporters is always quite satisfying, but so is being recognized for your efforts with a job performance increase.	→	Your seminar was wildly successful. Reaching a room full of avid and enthusiastic supporters is always quite satisfying, but so is being recognised for your efforts with a job performance increase.
0x81C6E714BFCCA003: Competing branches of The Organization are looking at {0.SimName} and his skills with eager eyes. The Department of Thievery thinks he's got a great sneak about him, as well as an eye for the real prize. The Ministry of Evil has other plans for {0.SimFirstName}. They think he has what it takes to lead The Organization to evil and world domination. What will it be? Thief or Evildoer?	→	Competing branches of The Organisation are looking at {0.SimName} and his skills with eager eyes. The Department of Thievery thinks he's got a great sneak about him, as well as an eye for the real prize. The Ministry of Evil has other plans for {0.SimFirstName}. They think he has what it takes to lead The Organisation to evil and world domination. What will it be? Thief or Evildoer?
0x81D44B10631EE553: A robust mushroom with a great flavor and an even better ingredient for your favorite mushroom dish.  	→	A robust mushroom with a great flavour and an even better ingredient for your favourite mushroom dish. 
0x81E09EC6C4514556: Fertilize Garden with Best Fertilizers	→	Fertilise Garden with Best Fertilisers
0x81F430B952827E6B: Attend a game in {0.Days} at {1.String}	→	Attend a match in {0.Days} at {1.String}
0x81FBD66AB4CBEC7D: Oh no!  {0.SimFirstName} has been cursed  by a mummy!  If it’s not cured, your Sim may perish.	→	Oh no! {0.SimFirstName} has been cursed by a mummy! If it’s not cured, your Sim may perish.
0x820BE6D07F3C3369: {0.SimName} has heard you’re quite the master griller and would like to sample some of your incredible grilled Cheesesteak Sandwiches. Prepare a group serving of Cheesesteaks and bring it to {0.SimName}, who is sure to pay you for your effort.	→	{0.SimName} has heard you’re quite the master griller and would like to sample some of your incredible grilled Philly Cheesesteaks. Prepare a group serving of Philly Cheesesteaks and bring it to {0.SimName}, who is sure to pay you for your effort.
0x8245AF509770F184: {0.SimFirstName} desperately needs to fuel {MA.his}{FA.her} desire for exercise.  A bit of running or jumping right now can easily help ease the frustration.	→	{0.SimFirstName} desperately needs to fuel {MA.his}{FA.her} desire for exercise. A bit of running or jumping right now can easily help ease the frustration.
0x826E46B096AD60E4: Teaching a new trick, such as Play Dead, can be such an adventure! Your dog is really happy with all the attention {MA.He}{FA.She} is getting that they practically can't lie still from all the excitement!  	→	Teaching a new trick, such as Play Dead, can be such an adventure! Your dog is really happy with all the attention {MA.He}{FA.She} is getting that they practically can't lie still from all the excitement! 
0x829126FEDD915671: This is the trashcan placed on houseboats by default as the replacement for the outdoor trashcan. It's different from the base game indoor trashcan in that it can't be stolen, reposessed, copied, it stays after an eviction, and its value is 0.	→	This is the waste bin placed on houseboats by default as the replacement for the outdoor waste bin. It's different from the base game indoor waste bin in that it can't be stolen, reposessed, copied, it stays after an eviction, and its value is 0.
0x829FF9B5980C1177: Second in command may not be the end goal, but riding the ticket long enough just might earn you the coveted top spot. Mere local matters are beneath you now that economic concerns pile onto your desk. Evil organizations aren’t making matters any better, as the safety and protection of the citizenry is a prime directive of your boss. The public watches silently to see if you truly have what it takes.	→	Second in command may not be the end goal, but riding the ticket long enough just might earn you the coveted top spot. Mere local matters are beneath you now that economic concerns pile onto your desk. Evil organisations aren’t making matters any better, as the safety and protection of the citizenry is a prime directive of your boss. The public watches silently to see if you truly have what it takes.
